index,participant_id,identification,audience,shorthand,item_id,intimacy,self-disclosure,valence,age,gender,area,social_media_use,facebook,twitter,instagram,snapchat,secret,yik_yak,whisper
0,1,anonymous,nearby,AN,20,3,0,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
1,1,anonymous,nearby,AN,19,2,1,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2,1,anonymous,nearby,AN,22,0,1,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
3,1,anonymous,nearby,AN,32,3,0,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
4,1,anonymous,nearby,AN,8,3,1,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
5,1,anonymous,nearby,AN,17,-1,2,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
6,1,anonymous,nearby,AN,1,-2,3,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
7,1,anonymous,nearby,AN,13,0,3,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
8,1,anonymous,nearby,AN,6,0,2,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
9,1,anonymous,nearby,AN,16,-1,2,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
10,1,anonymous,nearby,AN,25,2,2,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
11,1,anonymous,nearby,AN,27,-1,1,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
12,1,anonymous,nearby,AN,2,0,1,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
13,1,anonymous,nearby,AN,4,1,1,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
14,1,anonymous,nearby,AN,24,2,0,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
15,1,anonymous,nearby,AN,5,0,2,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
16,1,anonymous,nearby,AN,7,0,1,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
17,1,anonymous,nearby,AN,12,2,1,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
18,1,anonymous,nearby,AN,23,-1,1,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
19,1,anonymous,nearby,AN,11,0,0,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
20,1,anonymous,nearby,AN,33,2,1,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
21,1,anonymous,nearby,AN,26,2,0,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
22,1,anonymous,nearby,AN,31,3,0,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
23,1,anonymous,nearby,AN,35,-3,2,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
24,1,anonymous,nearby,AN,34,1,1,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
25,1,anonymous,nearby,AN,9,-3,3,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
26,1,anonymous,nearby,AN,29,-1,1,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
27,1,anonymous,nearby,AN,10,0,1,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
28,1,anonymous,nearby,AN,3,0,3,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
29,1,anonymous,nearby,AN,36,1,1,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
30,1,anonymous,nearby,AN,30,1,0,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
31,1,anonymous,nearby,AN,21,-1,2,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
32,1,anonymous,nearby,AN,14,0,2,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
33,1,anonymous,nearby,AN,18,0,2,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
34,1,anonymous,nearby,AN,28,2,0,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
