item_id,item_text,category,valence
1,"My favorite foods, the ways I like food prepared",T,pos
2,"The kind of music, books, movies or TV shows that I cannot bear",T,neg
3,"My favorite singers, movie stars, writers, places, and brands",T,pos
4,People or organizations that I strongly dislike,T,neg
5,"The kind of party, or social gathering that I like the best",T,pos
6,"The type of social gathering that would bore me, or that I wouldn't enjoy",T,neg
7,Political or religious views that I admire,A,pos
8,My indifference or dislikes about certain political or religious views,A,neg
9,Positive comments about the progressing of society,A,pos
10,My criticism about persisting social problems such as poverty and injustice,A,neg
11,Support for certain controversial choices such as dropping out of school,A,pos
12,"Skepticism about the choices that people make, e.g., career choices, marriage",A,neg
13,"What I enjoy, and get the most satisfaction from in my present work or study",W,pos
14,Pressures and strains in my work or study,W,neg
15,What I feel are my special strong points for my work or study,W,pos
16,What I find to be the most boring and unenjoyable in work or study,W,neg
17,Things that I accomplish or achieved in work or study,W,pos
18,Frustrations about how my work or study not being valued at all,W,neg
19,"Items or signals about how wealthy I am, e.g., luxury trips, accessories",E,pos
20,"Pressing need for money right now, e.g., outstanding bills, debts",E,neg
21,"Optimism about my future financial worth, e.g., getting job offers",E,pos
22,Pessimistic views about my own future employment prospects and salaries,E,neg
23,Connections to people who have high social status,E,pos
24,Feelings of inferiority economically or socially compared to others around,E,neg
25,Having good times with my significant other,I,pos
26,Disappointments or bad experiences I have had in romantic relationship,I,neg
27,Missing home or old friends,I,pos
28,Things that I dislike or resent about my friends,I,neg
29,Things that make me especially proud of myself,I,pos
30,What I dislike the most about myself,I,neg
31,Confidence in my sexual adequacy,P,pos
32,Disappointments in past sexual activity or fear for the first sexual experience,P,neg
33,My standards about attractiveness of an ideal partner,P,pos
34,"Things I don't like about my appearance -- nose, eyes, hair, skin, etc.",P,neg
35,"Happiness for being fit, healthy, and attractive",P,pos
36,"Efforts to improve physical appearance, such as exercise, diet, surgery",P,neg
